,Unnamed: 0,sex,row_number,liters_drunk,drink,check_number,label,age_young,age_medium,age_old,morning1,afternoon1,evening1
2008,2008,0,56.0,2.0,1,930,0,,,old,0,0,1
2009,2009,1,34.0,1.0,0,9489,1,,,old,0,1,0
2011,2011,1,30.0,3.0,0,8008,0,young,,,0,0,1
2012,2012,1,72.0,0.0,0,8734,0,,medium,,1,0,0
2014,2014,0,86.0,3.0,0,1956,1,,medium,,1,0,0
2015,2015,1,58.0,3.0,0,8936,1,,,old,1,0,0
2016,2016,0,78.0,5.0,0,1817,1,,medium,,0,1,0
2018,2018,1,100.0,0.0,0,6228,1,,medium,,0,0,1
2020,2020,1,87.0,5.0,0,5204,1,,,old,0,0,1
2021,2021,0,95.0,5.0,1,980,1,,medium,,0,1,0
2022,2022,0,93.0,1.0,0,6889,0,,medium,,0,1,0
2023,2023,0,36.0,4.0,1,4446,1,,medium,,0,1,0
2025,2025,0,54.0,2.48,0,3681,0,,,old,0,0,1
2026,2026,0,39.0,3.0,1,8417,1,,medium,,1,0,0
2027,2027,0,62.0,1.0,0,3492,1,,medium,,0,0,1
2028,2028,1,4.0,1.0,0,5565,1,,medium,,1,0,0
2029,2029,1,32.0,0.0,1,4558,1,,medium,,0,1,0
2030,2030,0,85.0,2.48,0,9174,0,,medium,,0,1,0
2032,2032,1,51.0,0.0,0,4579,1,,medium,,0,1,0
2033,2033,0,60.0,0.0,0,1753,1,,medium,,0,0,1
2034,2034,0,51.0,0.0,1,1729,0,,,old,1,0,0
2035,2035,1,57.0,2.0,0,6556,0,,,old,1,0,0
2037,2037,1,35.0,4.0,0,3343,1,,,old,0,1,0
2038,2038,0,35.0,4.0,0,1785,0,,medium,,0,1,0
2039,2039,1,63.0,4.0,0,9113,0,,medium,,0,1,0
2040,2040,0,75.0,5.0,0,4291,0,,,old,1,0,0
2043,2043,1,31.0,2.48,1,8514,1,,medium,,0,1,0
2045,2045,1,48.0,5.0,0,9832,0,,medium,,1,0,0
2046,2046,1,5.0,2.0,1,3273,1,,medium,,0,1,0
2047,2047,0,96.0,2.0,0,2587,1,young,,,0,0,1
2048,2048,1,16.0,5.0,0,1239,1,,,old,1,0,0
2049,2049,0,81.0,2.0,0,8736,1,,medium,,0,0,1
2050,2050,0,15.0,2.48,1,2268,1,,medium,,1,0,0
2051,2051,1,85.0,4.0,0,28,0,,medium,,0,0,1
2053,2053,1,70.0,2.0,0,2239,1,,medium,,0,0,1
2054,2054,0,97.0,1.0,0,4469,0,young,,,0,0,1
2057,2057,0,2.0,1.0,0,4219,1,,medium,,0,0,1
2058,2058,1,90.0,4.0,0,2654,0,young,,,0,1,0
2059,2059,1,62.0,1.0,0,881,1,,medium,,0,0,1
2060,2060,0,55.0,5.0,1,9715,1,,,old,1,0,0
2061,2061,0,1.0,1.0,0,6437,0,,medium,,0,0,1
2065,2065,1,84.0,1.0,0,2750,0,,,old,0,0,1
2066,2066,1,64.0,4.0,0,3495,0,,,old,0,1,0
2068,2068,0,10.0,0.0,1,7101,1,,,old,0,0,1
2069,2069,0,22.0,4.0,0,8012,0,young,,,0,0,1
2070,2070,0,96.0,1.0,1,1441,0,,,old,0,1,0
2072,2072,0,87.0,3.0,0,2335,0,,medium,,1,0,0
2073,2073,1,71.0,2.48,1,4427,0,,medium,,0,0,1
2075,2075,0,31.0,3.0,1,5579,0,,medium,,0,0,1
2076,2076,1,67.0,5.0,1,9746,1,,medium,,1,0,0
2077,2077,0,49.0,3.0,1,6239,0,,,old,0,1,0
2078,2078,1,46.0,5.0,0,9740,1,,medium,,0,1,0
2079,2079,1,93.0,1.0,1,9682,0,,,old,0,1,0
2080,2080,0,21.0,2.0,0,8818,0,,,old,1,0,0
2081,2081,0,40.0,2.0,1,7872,0,,,old,0,1,0
2082,2082,0,91.0,5.0,1,2691,1,,medium,,0,1,0
2083,2083,0,5.0,0.0,1,7868,1,,medium,,0,1,0
2084,2084,1,52.0,3.0,0,5083,1,,,old,0,0,1
2085,2085,0,30.0,3.0,0,2734,1,,medium,,1,0,0
2086,2086,1,23.0,0.0,0,7000,1,,medium,,0,1,0
2087,2087,1,24.0,2.0,0,4283,1,young,,,0,1,0
2088,2088,1,98.0,3.0,0,3613,1,,medium,,0,0,1
2090,2090,0,59.0,5.0,1,5682,1,,medium,,1,0,0
2092,2092,1,86.0,3.0,0,8845,1,,,old,1,0,0
2093,2093,0,21.0,3.0,0,6860,1,,medium,,0,0,1
2095,2095,0,1.0,2.48,0,4892,1,,medium,,1,0,0
2097,2097,0,57.0,1.0,0,4123,1,,,old,0,0,1
2099,2099,1,65.0,4.0,0,9661,1,,medium,,0,0,1
2100,2100,1,31.0,2.0,0,179,0,young,,,1,0,0
2102,2102,0,82.0,5.0,1,9587,0,,,old,1,0,0
2103,2103,0,33.0,2.48,0,3230,1,,,old,0,0,1
2104,2104,1,77.0,2.0,1,3669,0,,medium,,0,0,1
2105,2105,1,54.0,2.0,1,307,1,,medium,,0,0,1
2108,2108,1,36.0,0.0,0,4667,0,,medium,,0,0,1
2109,2109,1,37.0,2.48,0,7564,0,young,,,0,0,1
2110,2110,1,61.0,1.0,1,3662,1,,,old,0,1,0
2111,2111,1,92.0,2.0,0,7881,0,young,,,0,0,1
2112,2112,0,31.0,2.0,1,8878,1,,medium,,1,0,0
2117,2117,0,87.0,3.0,0,7764,1,,,old,0,1,0
2120,2120,1,3.0,2.0,0,2606,1,,,old,0,1,0
2121,2121,1,39.0,1.0,0,1008,1,young,,,1,0,0
2123,2123,1,45.0,2.48,1,4943,0,,,old,0,1,0
2125,2125,1,100.0,5.0,1,391,0,,,old,0,0,1
2126,2126,0,79.0,2.0,1,1831,0,,medium,,0,0,1
2127,2127,1,10.0,3.0,0,6264,1,,medium,,1,0,0
2128,2128,1,92.0,2.0,1,4179,1,,,old,0,0,1
2129,2129,0,91.0,2.0,0,222,0,,,old,0,0,1
2131,2131,0,21.0,1.0,0,6394,0,,medium,,1,0,0
2134,2134,1,92.0,4.0,1,9010,1,,,old,0,0,1
2135,2135,1,58.0,0.0,0,617,0,,medium,,0,1,0
2136,2136,0,24.0,1.0,1,8318,1,,medium,,0,1,0
2138,2138,1,48.0,5.0,0,7898,1,young,,,0,0,1
2139,2139,1,26.0,5.0,0,6100,0,,medium,,0,1,0
2141,2141,1,99.0,0.0,0,8384,0,,medium,,1,0,0
2142,2142,0,37.0,1.0,0,4381,1,young,,,1,0,0
2143,2143,0,86.0,0.0,1,7460,0,,,old,0,0,1
2146,2146,1,92.0,0.0,0,6215,0,,,old,1,0,0
2147,2147,1,77.0,4.0,0,9765,1,,,old,0,0,1
2149,2149,1,97.0,4.0,0,9223,0,,medium,,1,0,0
2151,2151,1,84.0,2.0,1,8745,0,,medium,,1,0,0
2152,2152,0,74.0,2.48,1,6414,1,,medium,,1,0,0
2153,2153,1,86.0,5.0,1,8037,1,,,old,1,0,0
2155,2155,1,24.0,5.0,1,404,1,,medium,,0,0,1
2156,2156,0,62.0,1.0,1,9080,1,,,old,0,1,0
2157,2157,1,71.0,5.0,0,5379,1,young,,,0,1,0
2160,2160,0,92.0,3.0,1,5702,1,,medium,,1,0,0
2163,2163,0,55.0,1.0,1,3172,0,,,old,0,1,0
2164,2164,1,88.0,4.0,1,7833,1,,medium,,0,0,1
2165,2165,1,83.0,5.0,0,9021,1,,medium,,0,1,0
2166,2166,0,73.0,4.0,1,7214,0,,,old,0,1,0
2168,2168,0,39.0,2.48,0,8914,0,,,old,0,1,0
2169,2169,0,99.0,5.0,1,507,1,,,old,0,0,1
2170,2170,1,40.0,3.0,0,716,0,,,old,0,0,1
2175,2175,1,54.0,3.0,1,1561,1,,,old,0,0,1
2176,2176,0,31.0,4.0,0,7817,1,,medium,,0,1,0
2177,2177,1,90.0,2.48,1,8950,0,,medium,,1,0,0
2178,2178,1,33.0,2.48,0,4218,1,,medium,,1,0,0
2179,2179,0,15.0,1.0,1,2824,1,,medium,,0,1,0
2180,2180,1,46.0,2.48,0,717,1,,medium,,1,0,0
2181,2181,0,65.0,0.0,0,2271,1,,medium,,0,1,0
2182,2182,1,21.0,4.0,0,7389,1,,medium,,0,1,0
2183,2183,1,51.0,2.0,0,5284,1,,medium,,1,0,0
2185,2185,1,65.0,5.0,1,9845,1,,,old,1,0,0
2186,2186,1,11.0,3.0,1,2350,1,,medium,,0,0,1
2187,2187,1,53.0,1.0,0,2256,1,young,,,1,0,0
2190,2190,0,7.0,5.0,0,5296,1,young,,,1,0,0
2191,2191,1,9.0,2.0,1,6743,1,,,old,0,1,0
2193,2193,1,32.0,2.0,0,3980,1,,medium,,1,0,0
2196,2196,0,97.0,0.0,0,7433,0,,medium,,0,1,0
2197,2197,1,41.0,2.48,0,2074,1,,medium,,1,0,0
2200,2200,1,61.0,3.0,0,834,1,,,old,1,0,0
2201,2201,0,80.0,5.0,0,7844,0,,,old,0,1,0
2202,2202,0,49.0,2.48,0,927,1,,,old,0,0,1
2203,2203,1,92.0,0.0,1,3244,0,,,old,0,1,0
2204,2204,0,59.0,5.0,1,4051,1,,,old,0,1,0
2205,2205,0,48.0,1.0,1,9530,1,,medium,,0,1,0
2206,2206,0,63.0,3.0,0,428,0,,medium,,0,0,1
2207,2207,1,88.0,5.0,0,139,0,,medium,,0,0,1
2208,2208,1,86.0,4.0,1,9912,1,,medium,,1,0,0
2210,2210,0,67.0,2.0,1,2195,1,,medium,,0,1,0
2211,2211,1,36.0,2.48,0,9722,0,,,old,0,0,1
2212,2212,1,98.0,2.0,1,2428,0,,,old,0,0,1
2214,2214,1,1.0,1.0,1,9116,0,,,old,0,0,1
2216,2216,0,36.0,4.0,0,6744,1,young,,,1,0,0
2217,2217,0,61.0,2.0,0,4293,1,young,,,0,1,0
2218,2218,0,52.0,3.0,1,532,0,,medium,,1,0,0
2219,2219,0,51.0,4.0,1,1318,1,,,old,1,0,0
2220,2220,0,28.0,1.0,1,7869,1,,,old,0,0,1
2222,2222,0,0.0,3.0,0,7560,1,,medium,,0,1,0
2223,2223,1,4.0,3.0,0,9805,1,,medium,,1,0,0
2224,2224,0,100.0,2.0,1,9552,0,,,old,0,1,0
2225,2225,0,91.0,0.0,1,918,1,,,old,0,0,1
2226,2226,0,71.0,4.0,1,4244,0,,,old,0,0,1
2227,2227,1,1.0,5.0,1,2518,1,,,old,1,0,0
2229,2229,0,47.0,2.0,0,4729,0,young,,,0,0,1
2231,2231,0,76.0,2.0,0,6943,0,,medium,,0,0,1
2233,2233,1,100.0,2.0,1,2788,1,,,old,0,1,0
2236,2236,1,55.0,4.0,0,9115,1,,,old,0,0,1
2239,2239,1,87.0,1.0,0,301,1,,,old,0,0,1
2241,2241,1,49.0,0.0,1,7654,0,,,old,0,1,0
2242,2242,1,85.0,2.0,0,8036,0,young,,,1,0,0
2243,2243,0,63.0,3.0,1,4175,1,,medium,,0,1,0
2244,2244,1,63.0,2.0,1,2853,1,,,old,0,0,1
2245,2245,0,49.0,1.0,1,4775,0,,,old,0,1,0
2248,2248,1,35.0,2.0,0,2695,1,,,old,0,0,1
2249,2249,1,60.0,2.0,0,9791,1,,,old,0,1,0
2250,2250,1,9.0,0.0,1,6914,0,,medium,,1,0,0
2253,2253,1,79.0,0.0,0,310,1,,medium,,1,0,0
2254,2254,0,77.0,2.0,0,7180,0,,medium,,0,0,1
2255,2255,0,28.0,5.0,1,4157,1,,medium,,1,0,0
2256,2256,0,52.0,2.48,1,1272,0,,medium,,0,1,0
2258,2258,1,7.0,5.0,1,4545,1,,,old,0,0,1
2260,2260,0,24.0,2.0,1,7638,0,,,old,0,1,0
2261,2261,1,22.0,2.0,0,4600,0,,,old,0,1,0
2263,2263,0,50.0,0.0,1,9211,0,,medium,,1,0,0
2265,2265,0,23.0,1.0,0,1071,1,,medium,,0,1,0
2266,2266,0,21.0,5.0,0,4928,1,young,,,0,1,0
2267,2267,0,38.0,3.0,0,7057,1,,medium,,0,1,0
2268,2268,1,14.0,3.0,0,991,1,young,,,0,1,0
2269,2269,1,51.0,0.0,1,4071,1,,,old,0,1,0
2270,2270,1,9.0,2.0,0,6614,0,,medium,,0,0,1
2271,2271,0,90.0,3.0,0,3611,0,,,old,0,1,0
2272,2272,0,64.0,2.48,0,8942,1,,,old,1,0,0
2273,2273,0,45.0,1.0,1,9592,0,,medium,,0,0,1
2274,2274,1,59.0,3.0,0,7788,0,,,old,0,0,1
2275,2275,0,46.0,1.0,0,3215,1,,,old,0,1,0
2276,2276,0,15.0,0.0,1,1467,0,,,old,0,1,0
2277,2277,0,95.0,0.0,1,3629,0,,,old,0,1,0
2278,2278,0,100.0,2.48,0,8820,0,,,old,0,0,1
2280,2280,0,69.0,5.0,0,1425,0,,,old,0,0,1
2281,2281,1,36.0,1.0,0,1311,0,,,old,0,1,0
2283,2283,1,13.0,0.0,1,9016,0,,,old,0,0,1
2284,2284,1,82.0,0.0,0,6378,0,,medium,,1,0,0
2285,2285,1,8.0,0.0,1,4435,0,,,old,1,0,0
2286,2286,0,68.0,2.48,1,9204,1,,,old,1,0,0
2288,2288,0,0.0,4.0,0,490,1,,,old,0,0,1
2291,2291,0,1.0,5.0,1,1403,1,,,old,0,0,1
2292,2292,0,35.0,1.0,0,512,1,,,old,0,1,0
2293,2293,1,62.0,3.0,0,1569,1,,medium,,1,0,0
2296,2296,0,36.0,0.0,0,3166,1,,,old,0,1,0
2298,2298,0,8.0,2.0,1,953,1,,medium,,1,0,0
2302,2302,0,44.0,2.48,0,8681,1,,medium,,0,0,1
2303,2303,1,93.0,2.0,1,5288,1,,medium,,1,0,0
2305,2305,1,98.0,0.0,1,6622,0,,medium,,0,0,1
2307,2307,0,51.0,4.0,0,3697,1,,medium,,1,0,0
2311,2311,0,67.0,1.0,0,1541,1,young,,,1,0,0
2312,2312,0,69.0,0.0,1,3537,1,,,old,0,0,1
2313,2313,0,40.0,5.0,0,250,1,young,,,1,0,0
2315,2315,0,89.0,3.0,1,5464,1,,medium,,1,0,0
2317,2317,0,94.0,2.0,1,5650,1,,,old,0,0,1
2318,2318,0,6.0,3.0,1,5501,0,,,old,0,1,0
2320,2320,1,48.0,0.0,1,2536,1,,,old,1,0,0
2322,2322,1,37.0,2.0,0,6900,1,,,old,0,0,1
2323,2323,0,75.0,2.48,0,8766,0,,medium,,1,0,0
2325,2325,1,29.0,2.0,0,1015,1,,medium,,0,1,0
2327,2327,0,56.0,5.0,1,8039,0,,,old,0,1,0
2328,2328,1,60.0,2.48,1,1057,0,,,old,0,0,1
2329,2329,1,4.0,2.48,1,5863,1,,medium,,0,1,0
2330,2330,1,74.0,1.0,1,4413,0,,medium,,0,1,0
2332,2332,1,74.0,4.0,0,6106,0,,medium,,1,0,0
2333,2333,1,29.0,4.0,0,6973,1,,,old,1,0,0
2334,2334,1,46.0,1.0,1,2422,1,,,old,0,0,1
2335,2335,1,39.0,1.0,0,4668,1,young,,,1,0,0
2336,2336,0,28.0,4.0,1,4917,1,,medium,,0,1,0
2337,2337,0,47.0,1.0,0,9002,1,,medium,,0,0,1
2338,2338,0,71.0,0.0,1,6492,0,,medium,,0,1,0
2339,2339,1,40.0,0.0,0,226,1,,medium,,0,0,1
2341,2341,0,65.0,4.0,1,5979,1,,medium,,0,1,0
2342,2342,1,49.0,1.0,1,9284,1,,medium,,0,0,1
2343,2343,1,52.0,3.0,1,5858,0,,,old,1,0,0
2345,2345,0,20.0,5.0,0,935,1,young,,,1,0,0
2346,2346,0,0.0,3.0,0,5476,0,,medium,,0,0,1
2347,2347,1,4.0,1.0,1,166,1,,medium,,0,0,1
2348,2348,0,29.0,4.0,1,770,0,,,old,1,0,0
2349,2349,0,20.0,5.0,1,8089,1,,medium,,0,1,0
2350,2350,1,33.0,2.0,1,7602,0,,medium,,0,1,0
2351,2351,1,9.0,3.0,1,8079,0,,,old,1,0,0
2352,2352,1,67.0,5.0,0,1800,1,,medium,,0,0,1
2353,2353,0,60.0,0.0,1,7366,1,,,old,1,0,0
2354,2354,0,28.0,5.0,0,7746,0,,medium,,1,0,0
2357,2357,0,100.0,4.0,0,7808,0,,,old,0,0,1
2358,2358,1,78.0,2.0,1,3643,1,,,old,0,1,0
2359,2359,0,1.0,4.0,1,5313,1,,medium,,0,0,1
2360,2360,0,18.0,1.0,0,6196,1,young,,,1,0,0
2361,2361,0,8.0,0.0,0,3456,1,,,old,0,0,1
2362,2362,1,100.0,2.48,0,4727,1,young,,,1,0,0
2363,2363,1,14.0,0.0,1,5364,1,,medium,,1,0,0
2364,2364,0,39.0,2.48,1,5438,1,,medium,,1,0,0
2365,2365,0,95.0,0.0,0,9457,0,,medium,,0,1,0
2366,2366,0,98.0,3.0,0,1705,0,,,old,1,0,0
2369,2369,1,36.0,4.0,1,2940,0,,,old,0,0,1
2371,2371,1,95.0,0.0,0,6745,0,,medium,,0,0,1
2374,2374,1,58.0,5.0,1,1811,1,,medium,,0,1,0
2375,2375,1,21.0,5.0,1,1364,1,,,old,1,0,0
2376,2376,1,100.0,3.0,1,6911,0,,,old,0,0,1
2377,2377,0,75.0,2.0,1,819,1,,medium,,0,1,0
2378,2378,0,48.0,5.0,0,7390,0,,,old,0,1,0
2386,2386,1,40.0,3.0,0,9969,1,,medium,,0,0,1
2387,2387,0,100.0,0.0,0,1726,1,,,old,0,1,0
2388,2388,1,56.0,1.0,1,2044,0,,medium,,0,0,1
2390,2390,1,97.0,3.0,0,579,1,,medium,,1,0,0
2391,2391,1,50.0,1.0,1,2532,0,,,old,1,0,0
2392,2392,1,22.0,4.0,0,4153,1,,medium,,1,0,0
2395,2395,1,28.0,0.0,1,9503,0,,,old,0,0,1
2397,2397,0,93.0,5.0,0,5937,1,,medium,,1,0,0
2398,2398,1,52.0,3.0,1,6204,1,,medium,,0,1,0
2399,2399,0,24.0,1.0,1,8067,0,,medium,,0,0,1
2400,2400,1,98.0,0.0,0,2124,0,,,old,0,1,0
2401,2401,0,99.0,2.0,0,1865,1,,medium,,0,0,1
2402,2402,1,41.0,0.0,0,156,1,,medium,,0,1,0
2405,2405,1,57.0,4.0,0,5107,1,,,old,0,1,0
2409,2409,1,71.0,5.0,1,5705,1,,medium,,0,0,1
2410,2410,1,75.0,2.48,1,8811,0,,medium,,1,0,0
2411,2411,1,47.0,1.0,1,3068,0,,medium,,0,1,0
2412,2412,1,100.0,2.0,1,1528,0,,medium,,0,1,0
2413,2413,1,42.0,3.0,0,728,1,,,old,0,1,0
2414,2414,1,3.0,3.0,1,305,1,,medium,,0,1,0
2417,2417,1,25.0,2.0,0,9840,0,,medium,,0,0,1
2418,2418,0,68.0,4.0,1,838,1,,,old,0,1,0
2419,2419,0,71.0,2.0,1,967,0,,,old,0,0,1
2420,2420,0,4.0,2.48,1,6781,0,,,old,0,1,0
2421,2421,1,90.0,0.0,1,4189,1,,,old,1,0,0
2423,2423,0,3.0,3.0,0,6126,1,,medium,,0,1,0
2424,2424,1,100.0,4.0,0,1698,1,,medium,,1,0,0
2425,2425,0,82.0,5.0,1,2398,1,,medium,,1,0,0
2426,2426,0,91.0,0.0,0,2689,0,,medium,,0,1,0
2427,2427,0,40.0,0.0,0,6033,1,,medium,,1,0,0
2430,2430,1,1.0,3.0,0,7785,1,young,,,0,1,0
2431,2431,1,56.0,3.0,0,7677,0,,,old,0,1,0
2433,2433,0,98.0,1.0,0,8110,0,,,old,0,1,0
2435,2435,1,94.0,5.0,0,9863,1,young,,,0,0,1
2436,2436,0,26.0,5.0,0,9781,1,young,,,0,1,0
2437,2437,1,28.0,2.0,0,3367,0,,,old,1,0,0
2439,2439,0,100.0,1.0,0,1138,0,young,,,1,0,0
2443,2443,0,45.0,4.0,1,4078,1,,medium,,1,0,0
2444,2444,0,99.0,5.0,1,8278,1,,medium,,0,0,1
2445,2445,1,95.0,1.0,1,9566,1,,medium,,0,0,1
2448,2448,1,100.0,3.0,0,319,0,young,,,0,0,1
2449,2449,0,0.0,5.0,1,5592,1,,medium,,0,1,0
2451,2451,0,2.0,1.0,0,352,0,,medium,,0,1,0
2452,2452,1,22.0,2.0,0,5319,1,young,,,0,1,0
2454,2454,1,60.0,2.0,1,335,0,,medium,,0,0,1
2455,2455,1,9.0,5.0,0,5133,0,,medium,,0,0,1
2457,2457,0,25.0,1.0,1,8603,1,,medium,,1,0,0
2458,2458,0,1.0,0.0,1,4692,1,,,old,1,0,0
2459,2459,1,68.0,5.0,0,4480,1,,medium,,1,0,0
2460,2460,1,22.0,2.0,1,147,1,,,old,0,1,0
2463,2463,0,28.0,4.0,1,5178,1,,medium,,0,0,1
2464,2464,1,58.0,4.0,0,112,1,,medium,,1,0,0
2465,2465,0,33.0,4.0,0,5632,1,,medium,,0,0,1
2466,2466,0,53.0,3.0,1,7241,0,,,old,1,0,0
2467,2467,1,9.0,0.0,0,6069,1,,medium,,0,0,1
2468,2468,0,72.0,2.0,0,1442,0,,,old,0,0,1
2469,2469,0,49.0,5.0,0,2449,1,,medium,,0,0,1
2470,2470,1,36.0,2.0,0,4611,1,young,,,0,0,1
2471,2471,0,63.0,1.0,1,9928,1,,,old,0,1,0
2472,2472,1,100.0,3.0,0,9607,1,,medium,,0,1,0
2473,2473,0,75.0,0.0,0,1808,1,young,,,0,0,1
2474,2474,0,44.0,4.0,0,8464,0,,,old,0,0,1
2476,2476,1,75.0,0.0,1,2204,1,,medium,,1,0,0
2477,2477,1,1.0,1.0,0,1308,1,,,old,0,0,1
2479,2479,1,100.0,1.0,1,501,0,,medium,,1,0,0
2480,2480,1,16.0,4.0,0,8940,0,young,,,0,0,1
2483,2483,0,93.0,3.0,1,1282,1,,medium,,0,0,1
2485,2485,1,28.0,4.0,1,5688,1,,medium,,0,0,1
2486,2486,1,60.0,2.0,1,7157,0,,medium,,1,0,0
2487,2487,1,3.0,0.0,0,520,1,,medium,,1,0,0
2488,2488,1,9.0,5.0,0,5304,1,,medium,,0,1,0
2490,2490,1,100.0,2.48,0,1370,1,,medium,,0,1,0
2491,2491,1,4.0,1.0,0,3995,1,,medium,,1,0,0
2492,2492,1,9.0,2.0,1,6530,0,,,old,1,0,0
2493,2493,1,55.0,0.0,0,4599,1,,medium,,0,1,0
2495,2495,1,77.0,1.0,1,3452,1,,,old,1,0,0
2497,2497,0,79.0,2.48,0,4911,1,,medium,,1,0,0
2499,2499,1,45.0,2.0,0,7037,0,,medium,,1,0,0
2500,2500,0,27.0,1.0,1,2316,1,,,old,0,1,0
2501,2501,0,91.0,1.0,0,4111,1,,medium,,0,1,0
2502,2502,0,49.0,1.0,0,6050,1,young,,,1,0,0
2503,2503,1,83.0,4.0,0,8996,0,young,,,1,0,0
2504,2504,0,32.0,2.48,1,5614,0,,,old,0,1,0
2507,2507,1,29.0,4.0,1,923,1,,medium,,0,0,1
2508,2508,0,54.0,5.0,1,5424,1,,,old,0,1,0
2510,2510,0,2.0,3.0,0,2258,1,,medium,,0,1,0
2511,2511,1,96.0,2.48,1,364,1,,medium,,0,0,1
2512,2512,1,17.0,5.0,0,7908,1,,medium,,0,0,1
2515,2515,0,65.0,4.0,0,6544,0,,,old,0,0,1
2516,2516,1,1.0,2.48,0,3357,0,young,,,0,1,0
2517,2517,0,76.0,1.0,0,5900,1,,medium,,0,1,0
2521,2521,0,61.0,2.0,1,9337,1,,medium,,0,1,0
2522,2522,1,6.0,2.0,1,4807,1,,medium,,0,1,0
2523,2523,0,19.0,2.0,1,9854,0,,,old,0,0,1
2524,2524,0,45.0,0.0,1,508,1,,medium,,1,0,0
2525,2525,0,100.0,3.0,0,5534,1,,medium,,1,0,0
2526,2526,0,72.0,4.0,1,3234,1,,,old,1,0,0
2528,2528,0,100.0,3.0,0,1234,0,,medium,,0,1,0
2529,2529,0,80.0,5.0,0,4267,1,young,,,1,0,0
2530,2530,0,94.0,2.48,0,4653,1,,medium,,0,1,0
2531,2531,0,72.0,1.0,1,8191,0,,,old,0,1,0
2532,2532,1,30.0,0.0,0,5656,0,,,old,1,0,0
2538,2538,1,86.0,2.48,1,9320,0,,,old,0,1,0
2539,2539,0,99.0,1.0,0,8327,0,,medium,,0,1,0
2540,2540,0,99.0,2.0,1,2377,1,,medium,,1,0,0
2542,2542,0,18.0,1.0,0,7762,1,,medium,,1,0,0
2543,2543,1,41.0,2.48,1,3672,0,,medium,,0,1,0
2545,2545,1,0.0,4.0,1,1943,1,,medium,,0,0,1
2546,2546,0,88.0,3.0,0,5929,1,,,old,0,0,1
2547,2547,1,62.0,1.0,1,6056,1,,medium,,0,1,0
2548,2548,0,94.0,5.0,0,3520,1,,medium,,0,1,0
2549,2549,0,29.0,1.0,1,2741,1,,,old,0,0,1
2550,2550,0,31.0,2.0,1,9319,1,,,old,0,1,0
2551,2551,0,42.0,3.0,1,1110,1,,medium,,0,1,0
2552,2552,0,53.0,2.0,1,3020,1,,medium,,0,1,0
2553,2553,1,11.0,2.0,1,6463,0,,,old,1,0,0
2555,2555,0,71.0,5.0,0,713,1,,medium,,1,0,0
2556,2556,1,33.0,2.0,0,3344,1,,,old,0,1,0
2559,2559,1,62.0,3.0,0,1933,1,,medium,,0,0,1
2561,2561,1,100.0,5.0,1,5330,1,,medium,,0,1,0
2562,2562,1,73.0,4.0,0,5195,1,,,old,0,0,1
2563,2563,1,2.0,1.0,0,8706,1,young,,,0,0,1
2565,2565,0,84.0,0.0,1,8667,1,,,old,0,1,0
2566,2566,1,83.0,2.0,1,901,0,,medium,,1,0,0
2567,2567,0,73.0,1.0,1,4912,1,,medium,,0,0,1
2568,2568,0,81.0,0.0,0,7399,1,,medium,,0,1,0
2569,2569,0,100.0,2.48,1,3037,1,,,old,0,1,0
2570,2570,1,58.0,4.0,1,4177,1,,medium,,0,1,0
2571,2571,0,67.0,0.0,1,9386,0,,,old,0,0,1
2572,2572,0,71.0,3.0,1,5511,0,,medium,,0,0,1
2573,2573,0,0.0,1.0,0,6905,0,young,,,1,0,0
2574,2574,1,6.0,5.0,0,3322,1,,,old,1,0,0
2576,2576,0,83.0,1.0,0,9919,0,,medium,,0,1,0
2577,2577,0,58.0,5.0,0,485,1,,medium,,0,1,0
2579,2579,1,63.0,0.0,1,8279,1,,medium,,0,0,1
2580,2580,1,48.0,2.0,1,8159,1,,,old,0,0,1
2581,2581,0,71.0,1.0,1,6791,0,,,old,0,0,1
2582,2582,1,40.0,3.0,1,6688,1,,medium,,0,1,0
2583,2583,0,36.0,1.0,0,2260,0,,medium,,0,0,1
2584,2584,1,74.0,1.0,0,5615,0,young,,,1,0,0
2585,2585,1,24.0,2.0,1,9326,0,,,old,0,1,0
2586,2586,1,24.0,0.0,1,3529,1,,,old,1,0,0
2587,2587,1,31.0,2.0,0,3946,1,,,old,0,1,0
2589,2589,1,48.0,0.0,0,5332,0,,,old,0,0,1
2590,2590,0,77.0,3.0,1,3700,1,,,old,0,1,0
2591,2591,0,26.0,2.0,1,5238,1,,,old,0,0,1
2592,2592,1,5.0,2.48,0,172,1,,medium,,1,0,0
2595,2595,1,0.0,5.0,0,5527,0,,medium,,0,0,1
2596,2596,1,35.0,4.0,0,3761,1,,,old,1,0,0
2598,2598,1,57.0,5.0,0,5961,1,,medium,,1,0,0
2601,2601,1,100.0,2.0,0,5244,1,,,old,1,0,0
2602,2602,1,65.0,0.0,1,3578,1,,medium,,1,0,0
2603,2603,1,47.0,5.0,0,1767,0,,medium,,0,1,0
2605,2605,0,79.0,2.0,0,1490,1,young,,,0,1,0
2607,2607,1,50.0,1.0,1,5947,1,,medium,,0,1,0
2608,2608,1,7.0,0.0,0,3184,1,,medium,,0,1,0
2609,2609,1,12.0,1.0,1,3779,1,,medium,,0,0,1
2610,2610,0,84.0,3.0,0,3306,1,,,old,0,1,0
2611,2611,1,2.0,2.0,0,798,0,,medium,,1,0,0
2612,2612,1,95.0,0.0,0,1623,1,,,old,0,1,0
